ID	Etudes	Derniere_Annee_Etude	Sexe	Annee_Naissance	Taille_en_cm	Pointure	Longueur_cheveux_en_cm	Couleur_yeux	Couleur_cheveux	Longueur_Index	Longueur_Majeur	Longueur_Annulaire	Ecartement_Orbital	Type_Pied	Nb_Heures_JeuxVideos_Mensuelles	Animal_compagnie_prefere	Nb_Animaux_compagnie	Note_Maths_S5	Niveau_Pilosite	Nb_Heures_Sport_Mensuelles	Système_Exploitation_Mobile	Taille_Fratrie	Nb_RepasPizza_Mensuel	Chocolatine_ou_pain_au_chocolat	Lateralisation	Region_CodeINSEE
55	TIS	2015	F	1991	168	39	42	Bleu	Chatain	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
56	TIS	2015	H	1991	180	46	16	Bleu	Chatain	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
57	TIS	2015	F	1991	146	35	41	Bleu	Chatain	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
58	TIS	2015	F	1991	166	38	43	Marron	Chatain	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59	TIS	2015	H	1991	176	42	3	Bleu	Chatain	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
60	TIS	2015	H	1991	183	44	2	Bleu	Chatain	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
61	TIS	2015	F	1991	168	37	36	Bleu	Chatain	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
62	TIS	2015	F	1991	176	39	17	Bleu	Chatain	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
63	L3B	2016	H	1992	176	42	8	Marron	Chatain	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
64	L3B	2016	F	1992	167	40	35	Marron	Chatain	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
